,1979Early,1979Late,1980Early,1980Late,1981Early,1981Late
"Top Weight, Anthesis (g/m^2)",3117.3748842711634,2944.219329389075,3381.4412424707434,2675.3425301899533,3339.637472370459,2491.8398892058526
"Top Weight, Maturity (g/m^2)",3249.5725249221523,3035.6298934668343,3497.977382249975,2741.5959256609653,3495.6330679917246,2571.1816424199387
Grain Yield (g/m^2),-42.25998157390518,-42.91490180295911,11.265869944787859,-29.539946824813274,3.9535732732516964,-32.62841063570764
Harvest Index (%),-1.2966943713411387,-1.409593403365069,0.32122915814052344,-1.074665944063462,0.11276322306675245,-1.2652218638255586
No. of Grain per m^2 (10^3),3903.606128034477,4069.2689364326816,4289.479248110502,4383.1917643137085,4680.993515907515,4861.244646323485
No. of Ears per m^2,892.351952794185,793.5342047154458,898.87982992656,738.5499581686623,901.2887664883614,708.3275689310816
No. Grains Per Ear,4374.514019733218,5128.032178388435,4772.0274783126015,5934.861570072312,5193.666769137482,6862.989469207672
Grain Weight (mg/grain),-0.01082588257826711,-0.01054609623333974,0.0026263957215203752,-0.006739369029052382,0.0008446013137630267,-0.006711945810088824
"Grain Pool, Anthesis (g/m^2)",16.467265739217755,16.479069305574228,16.246960173170276,18.243996194371157,17.10763502094661,18.250671186142192
"Grain Pool, Maturity (g/m^2)",209.74015004559516,108.95455225095888,246.51244367851405,240.38230210894838,248.4710038273654,224.86289997409708
"Root Weight, Anthesis (g/m^2)",1.0868566881182119e-05,1.0868566881182119e-05,1.0868566881182119e-05,1.0868566881182119e-05,1.0868566881182119e-05,1.0868566881182119e-05
